"","name","real3","drpm"
"1","A.J. Price",3.945,-2.42
"2","Aaron Brooks",46.827,-2.33
"3","Aaron Gordon",3.523,-0.48
"4","Adreian Payne",0.111,-3.1
"5","Al Horford",3.366,1.82
"6","Al Jefferson",0.8,0.56
"7","Al-Farouq Aminu",9.316,2.93
"8","Alan Anderson",25.404,2.21
"9","Alec Burks",9.932,-2.72
"10","Alec Burks",9.932,-4.59
"12","Alex Len",0.333,2.16
"13","Alexey Shved",15.886,-2.96
"15","Allen Crabbe",10.59,-0.68
"16","Alonzo Gee",4.823,-2.3
"17","Amar'e Stoudemire",0,-1.12
"18","Amir Johnson",7.847,1.32
"19","Anderson Varejao",0,-0.57
"20","Andre Dawkins",0.167,-0.99
"21","Andre Drummond",0,0.81
"22","Andre Iguodala",25.826,0.99
"23","Andre Miller",1.442,-2.13
"24","Andre Roberson",5.187,3.3
"25","Andrea Bargnani",5.49,-3.48
"28","Andrew Nicholson",4.121,-1.02
"29","Andrew Wiggins",12.09,-2.13
"30","Anthony Bennett",2.128,-3.21
"31","Anthony Davis",0.083,4.2
"32","Anthony Morrow",61.194,0.43
"33","Anthony Tolliver",38.796,-0.14
"34","Archie Goodwin",3.516,-2.51
"35","Aron Baynes",0.25,1.25
"36","Arron Afflalo",41.772,-1.86
"37","Austin Daye",8.112,-0.56
"38","Austin Rivers",11.622,-1.61
"39","Avery Bradley",43.648,0.73
"40","Ben Gordon",12.635,-3.39
"41","Ben McLemore",50.12,0.71
"42","Beno Udrih",6.968,-2.28
"44","Blake Griffin",4,0.38
"45","Bojan Bogdanovic",32.305,-3.87
"46","Boris Diaw",17.28,0.26
"47","Bradley Beal",43.354,0.55
"48","Brandan Wright",0,0.16
"49","Brandon Bass",2.529,-0.21
"50","Brandon Davies",1.88,-2.95
"51","Brandon Jennings",27.36,-1.41
"52","Brandon Knight",48.625,-1.85
"53","Brandon Rush",0.333,-3.26
"55","Brian Roberts",19.902,-2.36
"56","Brook Lopez",0.1,0.16
"57","Bruno Caboclo",1.334,-1.64
"58","Bryce Cotton",2.45,-2.25
"59","C.J. McCollum",21.78,0.89
"60","C.J. Miles",53.13,1.17
"61","C.J. Watson",28,-0.35
"62","C.J. Wilcox",2.576,-1.3
"66","Carmelo Anthony",20.801,-2.08
"67","Caron Butler",31.457,-0.23
"68","Cartier Martin",1.092,-0.42
"69","Chandler Parsons",50.16,0.07
"70","Channing Frye",53.448,-0.1
"71","Charlie Villanueva",31.208,-2.4
"72","Chase Budinger",18.928,-1.74
"73","Chris Andersen",1.232,1.94
"74","Chris Bosh",23.625,0
"75","Chris Copeland",16.172,-1.77
"76","Chris Douglas-Roberts",0.143,-1.68
"78","Chris Paul",55.322,0.47
"80","Cleanthony Early",5.764,-0.35
"82","Cody Zeller",1,3.23
"84","Corey Brewer",16.884,-1.24
"85","Cory Jefferson",0.266,1.53
"86","Cory Joseph",5.824,0.93
"87","Courtney Lee",36.18,-1.14
"88","D.J. Augustin",27.971,-3.24
"89","Dahntay Jones",0,-1.73
"90","Damian Lillard",67.228,-0.37
"91","Damjan Rudez",28.014,-2.09
"92","Danilo Gallinari",37.985,0
"93","Danny Granger",10.71,-2.19
"94","Danny Green",79.838,2.16
"95","Dante Cunningham",0.1,0.54
"96","Dante Exum",26.062,-0.13
"97","Darrell Arthur",6.136,3.91
"98","Darren Collison",22.38,0.26
"99","David Lee",0,-0.35
"100","David Stockton",0.5,-1.63
"101","David Wear",0,-0.69
"102","David West",0.8,1
"103","DeAndre Jordan",0.25,2.43
"105","DeMar DeRozan",7.1,-0.39
"106","DeMarcus Cousins",0.5,4.71
"107","DeMarre Carroll",47.4,-0.38
"108","Dennis Schroder",18.252,-2.93
"109","Deron Williams",31.929,-0.45
"110","Derrick Favors",0.167,2.18
"111","Derrick Rose",21.28,-0.26
"112","Derrick Williams",15.386,-4.38
"113","Devin Harris",33.915,-1.84
"114","Devyn Marble",0.728,-0.29
"115","Dewayne Dedmon",0,2.2
"116","Dion Waiters",21.681,-1.17
"117","Dirk Nowitzki",39.52,-1.89
"118","Donald Sloan",12.833,-1.28
"119","Donatas Motiejunas",18.032,1.13
"120","Dorell Wright",15.58,-0.16
"121","Doug McDermott",4.121,-2.02
"122","Draymond Green",37.407,5.23
"123","Drew Gooden",8.97,0
"124","Drew Gordon",0,-0.49
"125","Dwight Buycks",4.452,-2.4
"126","Dwight Howard",0.5,2.08
"127","Dwight Powell",0.819,-0.51
"128","Dwyane Wade",8.236,-1.95
"129","E'Twaun Moore",4.446,-1.11
"130","Earl Barron",1,0.33
"133","Elfrid Payton",2.882,0.87
"134","Elijah Millsap",8.708,3.42
"135","Elliot Williams",3.552,-0.82
"136","Elton Brand",0,0.81
"137","Enes Kanter",5.696,-3.84
"138","Eric Bledsoe",28.512,1.85
"139","Eric Gordon",63.168,-1.88
"141","Erick Green",4.172,-2.52
"142","Ersan Ilyasova",28.786,-2.45
"143","Evan Fournier",32.13,-1.35
"144","Evan Turner",9.141,-0.28
"146","Francisco Garcia",2.22,-0.29
"147","Furkan Aldemir",0,-2.29
"148","Gal Mekel",0,-1.01
"149","Garrett Temple",12.375,0.96
"150","Gary Harris",4.284,-2.39
"151","Gary Neal",15.25,-2.51
"152","George Hill",24.702,-0.87
"153","Gerald Green",48.498,-3.33
"154","Gerald Henderson",14.895,1.01
"155","Gerald Wallace",0.333,-0.66
"156","Giannis Antetokounmpo",1.113,1.5
"157","Glen Davis",0,2.12
"158","Goran Dragic",31.23,-2.1
"159","Gordon Hayward",43.68,1.19
"160","Gorgui Dieng",0.167,0.68
"161","Grant Jerrett",0.067,-1.11
"165","Greivis Vasquez",50.407,-2.21
"166","Harrison Barnes",35.235,1.23
"168","Hedo Turkoglu",25.92,-0.76
"169","Henry Sims",0.728,0.28
"170","Hollis Thompson",46.115,-1.8
"171","Ian Clark",3.33,-2.02
"173","Iman Shumpert",22.914,1.92
"174","Isaiah Canaan",33.67,-1.77
"175","Isaiah Thomas",48.117,-2.69
"176","Ish Smith",5.4,-1.58
"177","J.J. Hickson",0,-1.13
"178","J.J. Redick",87.4,0.26
"179","J.R. Smith",62.429,-0.54
"180","Jabari Brown",8.533,-3.93
"181","Jabari Parker",1,-2.66
"183","Jae Crowder",17.873,-1.07
"184","JaKarr Sampson",7.564,-2.29
"185","Jamaal Franklin",0.5,-1.77
"186","Jamal Crawford",38.913,-4.34
